author,title,year,source_title,doi,link,abstract,author_keywords,index_keywords,document_type,source,site,Latitude,Longitude,avg_depth,site_type,country,emission_type,area,target_cat,env_target,bio_target,bio_group,bio_species,bio_response
"Linares C. and Vidal M. and Canals M. and Kersting D.K. and Amblas D. and Aspillaga E. and Cebrián E. and Delgado-Huertas A., Díaz D. and Garrabou J. and Hereu B. and Navarro L. and Teixidó N. and Ballesteros E.",Persistent natural acidification drives major distribution shifts in marine benthic ecosystems,2015,Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2015.0587,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945934438&doi=10.1098%2frspb.2015.0587&partnerID=40&md5=471cb51fd4561afc66745107386979af,"Ocean acidification is receiving increasing attention because of its potential to affect marine ecosystems. Rare CO2 vents offer a unique opportunity to investigate the response of benthic ecosystems to acidification. However, the benthic habitats investigated so far are mainly found at very shallowwater (less than or equal to 5 m depth) and therefore are not representative of the broad range of continental shelf habitats. Here, we show that a decrease from pH 8.1 to 7.9 observed in a CO2 vent system at 40 m depth leads to a dramatic shift in highly diverse and structurally complex habitats. Forests of the kelp Laminaria rodriguezii usually found at larger depths (greater than 65 m) replace the otherwise dominant habitats (i.e. coralligenous outcrops and rhodolith beds), which aremainly characterized by calcifying organisms.Only the aragonite-calcifying algae are able to survive in acidified waters, while high-magnesium-calcite organisms are almost completely absent. Although a long-term survey of the venting areawould be necessary to fully understand the effects of the variability of pH and other carbonate parameters over the structure and functioning of the investigatedmesophotic habitats, our results suggest that in addition of significant changes at species level, moderate ocean acidification may entailmajor shifts in the distribution and dominance of key benthic ecosystems at regional scale, which could have broad ecological and socio-economic implications. ©2015 The Author(s).",Calcification; Climate change; CO2 vents; Ocean acidification; pH,acidification; aragonite; benthos; calcification; calcite; carbon dioxide; climate change; dominance; kelp forest; marine ecosystem; persistence; pH; shallow water; socioeconomic impact; venting; algae; Laminaria rodriguezii; acid; carbon dioxide; carbonic acid derivative; sea water; animal; Anthozoa; Bryozoa; chemistry; ecosystem; Laminaria; Mediterranean Sea; pH; physiology; red alga; Acids; Animals; Anthozoa; Bryozoa; Carbon Dioxide; Carbonates; Ecosystem; Hydrogen-Ion Concentration; Laminaria; Mediterranean Sea; Rhodophyta; Seawater,Article,Scopus,Columbretes,39.836042,0.680554,40,Hydrothermal Vents,Spain,,Western Mediterranean,environmental,,,,,
"Linares C. and Vidal M. and Canals M. and Kersting D.K. and Amblas D. and Aspillaga E. and Cebrián E. and Delgado-Huertas A., Díaz D. and Garrabou J. and Hereu B. and Navarro L. and Teixidó N. and Ballesteros E.",Persistent natural acidification drives major distribution shifts in marine benthic ecosystems,2015,Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2015.0587,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945934438&doi=10.1098%2frspb.2015.0587&partnerID=40&md5=471cb51fd4561afc66745107386979af,"Ocean acidification is receiving increasing attention because of its potential to affect marine ecosystems. Rare CO2 vents offer a unique opportunity to investigate the response of benthic ecosystems to acidification. However, the benthic habitats investigated so far are mainly found at very shallowwater (less than or equal to 5 m depth) and therefore are not representative of the broad range of continental shelf habitats. Here, we show that a decrease from pH 8.1 to 7.9 observed in a CO2 vent system at 40 m depth leads to a dramatic shift in highly diverse and structurally complex habitats. Forests of the kelp Laminaria rodriguezii usually found at larger depths (greater than 65 m) replace the otherwise dominant habitats (i.e. coralligenous outcrops and rhodolith beds), which aremainly characterized by calcifying organisms.Only the aragonite-calcifying algae are able to survive in acidified waters, while high-magnesium-calcite organisms are almost completely absent. Although a long-term survey of the venting areawould be necessary to fully understand the effects of the variability of pH and other carbonate parameters over the structure and functioning of the investigatedmesophotic habitats, our results suggest that in addition of significant changes at species level, moderate ocean acidification may entailmajor shifts in the distribution and dominance of key benthic ecosystems at regional scale, which could have broad ecological and socio-economic implications. ©2015 The Author(s).",Calcification; Climate change; CO2 vents; Ocean acidification; pH,acidification; aragonite; benthos; calcification; calcite; carbon dioxide; climate change; dominance; kelp forest; marine ecosystem; persistence; pH; shallow water; socioeconomic impact; venting; algae; Laminaria rodriguezii; acid; carbon dioxide; carbonic acid derivative; sea water; animal; Anthozoa; Bryozoa; chemistry; ecosystem; Laminaria; Mediterranean Sea; pH; physiology; red alga; Acids; Animals; Anthozoa; Bryozoa; Carbon Dioxide; Carbonates; Ecosystem; Hydrogen-Ion Concentration; Laminaria; Mediterranean Sea; Rhodophyta; Seawater,Article,Scopus,Columbretes,39.836042,0.680554,40,Hydrothermal Vents,Spain,,Western Mediterranean,biological,,algae,,,survival
"Linares C. and Vidal M. and Canals M. and Kersting D.K. and Amblas D. and Aspillaga E. and Cebrián E. and Delgado-Huertas A., Díaz D. and Garrabou J. and Hereu B. and Navarro L. and Teixidó N. and Ballesteros E.",Persistent natural acidification drives major distribution shifts in marine benthic ecosystems,2015,Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2015.0587,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945934438&doi=10.1098%2frspb.2015.0587&partnerID=40&md5=471cb51fd4561afc66745107386979af,"Ocean acidification is receiving increasing attention because of its potential to affect marine ecosystems. Rare CO2 vents offer a unique opportunity to investigate the response of benthic ecosystems to acidification. However, the benthic habitats investigated so far are mainly found at very shallowwater (less than or equal to 5 m depth) and therefore are not representative of the broad range of continental shelf habitats. Here, we show that a decrease from pH 8.1 to 7.9 observed in a CO2 vent system at 40 m depth leads to a dramatic shift in highly diverse and structurally complex habitats. Forests of the kelp Laminaria rodriguezii usually found at larger depths (greater than 65 m) replace the otherwise dominant habitats (i.e. coralligenous outcrops and rhodolith beds), which aremainly characterized by calcifying organisms.Only the aragonite-calcifying algae are able to survive in acidified waters, while high-magnesium-calcite organisms are almost completely absent. Although a long-term survey of the venting areawould be necessary to fully understand the effects of the variability of pH and other carbonate parameters over the structure and functioning of the investigatedmesophotic habitats, our results suggest that in addition of significant changes at species level, moderate ocean acidification may entailmajor shifts in the distribution and dominance of key benthic ecosystems at regional scale, which could have broad ecological and socio-economic implications. ©2015 The Author(s).",Calcification; Climate change; CO2 vents; Ocean acidification; pH,acidification; aragonite; benthos; calcification; calcite; carbon dioxide; climate change; dominance; kelp forest; marine ecosystem; persistence; pH; shallow water; socioeconomic impact; venting; algae; Laminaria rodriguezii; acid; carbon dioxide; carbonic acid derivative; sea water; animal; Anthozoa; Bryozoa; chemistry; ecosystem; Laminaria; Mediterranean Sea; pH; physiology; red alga; Acids; Animals; Anthozoa; Bryozoa; Carbon Dioxide; Carbonates; Ecosystem; Hydrogen-Ion Concentration; Laminaria; Mediterranean Sea; Rhodophyta; Seawater,Article,Scopus,Columbretes,39.836042,0.680554,40,Hydrothermal Vents,Spain,,Western Mediterranean,biological,,macrobenthos,,,survival
"Loher M. and Marcon Y. and Pape T., Römer M. and Wintersteller P. and dos Santos Ferreira C. and Praeg D. and Torres M. and Sahling H. and Bohrmann G.","Seafloor sealing, doming, and collapse associated with gas seeps and authigenic carbonate structures at Venere mud volcano, Central Mediterranean",2018,Deep-Sea Research Part I: Oceanographic Research Papers,10.1016/j.dsr.2018.04.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048609846&doi=10.1016%2fj.dsr.2018.04.006&partnerID=40&md5=b695bc1b3e45785e65bf3fdb2365d9a7,"Methane release from the seafloor is commonly associated with chemosynthesis-based cold seep ecosystems that facilitate the precipitation of authigenic carbonates. It has been proposed that carbonate growth results in self-sealing, but little is known regarding the evolution of cold seep structures in relation to fluid migration pathways. This study investigates structures resulting from gas seepage along ring faults peripheral to Venere mud volcano (1600 m water depth), based on multibeam bathymetry and seafloor backscatter data collected by an autonomous underwater vehicle, together with photomosaics, video observations, and samples obtained by a remotely operated vehicle. Sites of focused fluid flow are identified by gas bubble streams rising from the seafloor while anaerobic oxidation of methane (AOM) over wider areas is indicated by the occurrence of chemosynthesis-based organisms (microbial mats, vesicomyid clams, vestimentiferan tube worms). At some sites, flakes of gas hydrate were observed in the water column during sampling. A range of carbonate structures exists at these sites: 1) flat and extensive pavements; 2) mounds with disseminated nodules or centimeter-thick crusts; 3) fractured mounds with exposed, decimeter-thick crusts; and 4) seafloor depressions lined by decimeter-thick crusts. The mineralogy and stable carbon isotopic compositions of the carbonates are consistent with anaerobic oxidation of methane from thermogenic sources, and possible near-seabed influence of gas hydrate formation and dissolution. The seafloor expressions of seepage are inferred to be controlled by the interaction of fluid flow due to carbonate precipitation and gas hydrate formation. A conceptual model for mound development is proposed in the context of the known timescales of seep-colonization and rates of carbonate precipitation: (A) the onset of hydrocarbon-rich fluid seepage through hemipelagic sediments leads to (B) the establishment of microbial mats on flat seafloor over decadal timescales and is followed by (C) the growth of pavements cemented by carbonates that seal the seafloor; over longer timescales (centuries to millennia), carbonate growth and subsurface gas hydrate formation/dissolution lead to (D) upward doming and fracturing of carbonate mounds, re-sealing and stacking of carbonates and in some cases to (E) their collapse to form seafloor depressions. Gas migration through fractures in the carbonates allows re-sealing and fuels AOM to provide habitats for chemosynthesis-based fauna. This evolutionary scenario is argued to be broadly applicable to the development of ruptured mounds and collapse features described at other seepage sites in the Mediterranean Sea and elsewhere. © 2018 Elsevier Ltd",Calabrian Accretionary Prism; Carbonate seal; Cold seep; Mud volcano; Photomosaic; Tube worms,Autonomous underwater vehicles; Bathymetry; Carbonates; Carbonation; Flow of fluids; Gas hydrates; Gases; Hydration; Methane; Microorganisms; Minerals; Pavements; Remotely operated vehicles; Seepage; Underwater mineralogy; Volcanoes; Accretionary prism; Anaerobic oxidation of methanes; Carbonate precipitation; Central Mediterranean; Cold seeps; Mud volcanoes; Photomosaic; Vestimentiferan tube worms; Fracturing (fossil fuel deposits); authigenic mineral; carbonate platform; cold seep; collapse; gas hydrate; gas seepage; mud mound; mud volcano; seafloor; sealing; volcanology; Mediterranean Sea; Bivalvia; Tubicolae; Vesicomyidae,Article,Scopus,Venere,38.618383,17.193667,1600,Mud Volcano,Italy,,Calabrian Arc,environmental,,,,,
"Loher, M; Ceramicola, S; Wintersteller, P; Meinecke, G; Sahling, H; Bohrmann, G","Mud Volcanism in a Canyon: Morphodynamic Evolution of the Active Venere Mud Volcano and Its Interplay With Squillace Canyon, Central Mediterranean",2018,"Geochemistry, Geophysics, Geosystems",10.1002/2017GC007166,NA,"Submarine mud volcanoes develop through the extrusion of methane-rich fluids and sediments onto the seafloor. The morphology of a mud volcano can record its extrusive history and processes of erosion and deformation affecting it. The study of offshore mud volcano dynamics is limited because only few have been mapped at resolutions that reveal their detailed surface structures. More importantly, rates and volumes of extruded sediment and methane are poorly constrained. The 100 m high twin cones of Venere mud volcano are situated at approximate to 1,600 m water depth within Squillace Canyon along the Ionian Calabrian margin, Mediterranean Sea. Seafloor bathymetry and backscatter data obtained by a ship-based system and an autonomous underwater vehicle (AUV) allow mapping of mudflow deposits of the mud volcano and bedforms in the surrounding canyon. Repeated surveying by AUV document active mud movement at the western summit in between 2014 and 2016. Through sediment coring and tephrochronology, ages of buried mudflow deposits are determined based on the sedimentation rate and the thickness of overlying hemipelagic sediments. An average extrusion rate of 27,000 m(3)/yr over the last approximate to 882 years is estimated. These results support a three-stage evolutionary model of Venere mud volcano since approximate to 4,000 years ago. It includes the onset of quiescence at the eastern cone (after approximate to 2,200 years ago), erosive events in Squillace Canyon (prior to approximate to 882 years ago), and mudflows from the eastern cone (since approximate to 882 years). This study reveals new interactions between a mud volcano and a canyon in the deep sea. Plain Language Summary Mud volcanoes are geological structures that can release large amounts of gas (methane) and sediments. Mud volcanoes are well studied on land but on the seafloor, where they are much more common, the volumes of released sediments and methane are poorly known. In this study, the evolution of an active submarine mud volcano is investigated by using sediment cores and an exceptionally detailed seafloor map. The ages of different mud outflow deposits are determined by measuring the amount of marine background sediments that have accumulated on top of them. Volumes of sediment, extruded by the mud volcano, are estimated based on the seafloor map and the combination of all results allows to calculate an average extrusion rate of the mudflows. This study highlights the value of detailed seafloor mapping to gain new insights and to quantify fundamental geological processes occurring at mud volcanoes on the seafloor.",mud volcano; mud breccia; AUV; submarine canyon; tephra; Calabrian Accretionary Prism,RIDGE ACCRETIONARY COMPLEX; MIGRATING SEDIMENT WAVES; DEEP-SEA FAN; IONIAN SEA; BLACK-SEA; CALABRIAN ARC; SEISMIC-REFLECTION; CONTINENTAL-SLOPE; SIDESCAN SONAR; CYCLIC STEPS,Article,WOS,Venere,38.618383,17.193667,1600,Mud Volcano,Italy,,Calabrian Arc,environmental,,,,,
Lombardi C. and Gambi M.C. and Vasapollo C. and Taylor P. and Cocito S.,Skeletal alterations and polymorphism in a Mediterranean bryozoan at natural CO2 vents,2011,Zoomorphology,10.1007/s00435-011-0127-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957924290&doi=10.1007%2fs00435-011-0127-y&partnerID=40&md5=4f8b1cb4515c7257933bd094c2b0d575,"Colonies of the cheilostome bryozoan Schizoporella errata were grown at a site near Ischia Island (Tyrrhenian Sea, Italy) where volcanogenic CO2 emissions lower seawater pH to 7.76, simulating levels of ocean acidification predicted for the end of the present century. Compared with colonies from a control site (mean pH = 8.09), putative defensive polymorphs (avicularia) were significantly fewer, and retarded growth of zooidal basal and lateral walls was evident at the low pH site. The lower proportion of avicularia suggests a switch in resource allocation away from defence to favouring rapid growth. In addition, corrosion of the skeleton was observed in both new and old zooids at the low pH site, and feeding zooids were slightly smaller but had larger orifices for the protrusion of feeding lophophores. These findings corroborate previous studies demonstrating potential dissolution of carbonate skeletons in low pH seawater, while providing new insight into the possible ability of colonial species to respond to ocean acidification by adjusting resource allocation between zooids of different types. © 2011 Springer-Verlag.",Bryozoan; CO2; Mediterranean Sea; Ocean acidification; Polymorphism; Schizoporella,Bryozoa; Lophophora; Schizoporella; Schizoporella errata,Article,Scopus,Ischia,40.7306,13.95,3,Hydrothermal Vents,Italy,CO2,Neapolitan,environmental,,,,,
Lombardi C. and Gambi M.C. and Vasapollo C. and Taylor P. and Cocito S.,Skeletal alterations and polymorphism in a Mediterranean bryozoan at natural CO2 vents,2011,Zoomorphology,10.1007/s00435-011-0127-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957924290&doi=10.1007%2fs00435-011-0127-y&partnerID=40&md5=4f8b1cb4515c7257933bd094c2b0d575,"Colonies of the cheilostome bryozoan Schizoporella errata were grown at a site near Ischia Island (Tyrrhenian Sea, Italy) where volcanogenic CO2 emissions lower seawater pH to 7.76, simulating levels of ocean acidification predicted for the end of the present century. Compared with colonies from a control site (mean pH = 8.09), putative defensive polymorphs (avicularia) were significantly fewer, and retarded growth of zooidal basal and lateral walls was evident at the low pH site. The lower proportion of avicularia suggests a switch in resource allocation away from defence to favouring rapid growth. In addition, corrosion of the skeleton was observed in both new and old zooids at the low pH site, and feeding zooids were slightly smaller but had larger orifices for the protrusion of feeding lophophores. These findings corroborate previous studies demonstrating potential dissolution of carbonate skeletons in low pH seawater, while providing new insight into the possible ability of colonial species to respond to ocean acidification by adjusting resource allocation between zooids of different types. © 2011 Springer-Verlag.",Bryozoan; CO2; Mediterranean Sea; Ocean acidification; Polymorphism; Schizoporella,Bryozoa; Lophophora; Schizoporella; Schizoporella errata,Article,Scopus,Ischia,40.7306,13.95,3,Hydrothermal Vents,Italy,CO2,Neapolitan,biological,,macrobenthos,Bryozoa,Schizoporella errata,growth
"Lombardi, C; Cocito, S; Gambi and MC; Cisterna, B; Flach, F; Taylor and PD; Keltie, K; Freer, A; Cusack, M","Effects of ocean acidification on growth, organic tissue and protein profile of the Mediterranean bryozoan Myriapora truncata",2011,Aquatic Biology,10.3354/ab00376,NA,"The possible effects of ocean acidification on growth, organic tissue and protein profile in the bryozoan Myriapora truncata (Pallas, 1766) were studied in samples transplanted along a gradient of different pH conditions in an area of natural volcanic CO2 vents at Ischia Island (Tyrrhenian Sea, Italy). Living colonies from normal (mean pH 8.10), intermediate (pH 7.83) and low (pH 7.32) pH sites were investigated after intervals of 34, 57 and 87 d of exposure. M. truncata formed new and complete zooids at the normal site, whereas at the intermediate and low pH sites, neither partial nor complete zooids were produced. After 34 d at intermediate and low pH conditions, the organic cuticle which envelops the skeleton increased in thickness when compared to normal colonies, suggesting a protective role against dissolution of the high-Mg calcite skeleton. Significant changes in the protein profile and expression displayed by samples from intermediate and low pH conditions suggest that M. truncata makes an initial attempt to overcome the decrease in pH by up-regulating protein production but eventually, especially in the lowest pH condition, exhausts biochemical energy to maintain this rate of protein production, leading to eventual death.",Ocean acidification; Bryozoa; Organic tissues; Protein; Growth; Mediterranean Sea; Myriapora truncata,NATURAL CO2 VENTS; SEAWATER TEMPERATURE; ELECTRA-PILOSA; COLONY GROWTH; SHELL NACRE; BIOMINERALIZATION; CALCIFICATION; MORPHOLOGY; CORAL; LOPHOPHORE,Article,WOS,Ischia,40.7306,13.95,3,Hydrothermal Vents,Italy,CO2,Neapolitan,environmental,,,,,
"Lombardi, C; Cocito, S; Gambi and MC; Cisterna, B; Flach, F; Taylor and PD; Keltie, K; Freer, A; Cusack, M","Effects of ocean acidification on growth, organic tissue and protein profile of the Mediterranean bryozoan Myriapora truncata",2011,Aquatic Biology,10.3354/ab00376,NA,"The possible effects of ocean acidification on growth, organic tissue and protein profile in the bryozoan Myriapora truncata (Pallas, 1766) were studied in samples transplanted along a gradient of different pH conditions in an area of natural volcanic CO2 vents at Ischia Island (Tyrrhenian Sea, Italy). Living colonies from normal (mean pH 8.10), intermediate (pH 7.83) and low (pH 7.32) pH sites were investigated after intervals of 34, 57 and 87 d of exposure. M. truncata formed new and complete zooids at the normal site, whereas at the intermediate and low pH sites, neither partial nor complete zooids were produced. After 34 d at intermediate and low pH conditions, the organic cuticle which envelops the skeleton increased in thickness when compared to normal colonies, suggesting a protective role against dissolution of the high-Mg calcite skeleton. Significant changes in the protein profile and expression displayed by samples from intermediate and low pH conditions suggest that M. truncata makes an initial attempt to overcome the decrease in pH by up-regulating protein production but eventually, especially in the lowest pH condition, exhausts biochemical energy to maintain this rate of protein production, leading to eventual death.",Ocean acidification; Bryozoa; Organic tissues; Protein; Growth; Mediterranean Sea; Myriapora truncata,NATURAL CO2 VENTS; SEAWATER TEMPERATURE; ELECTRA-PILOSA; COLONY GROWTH; SHELL NACRE; BIOMINERALIZATION; CALCIFICATION; MORPHOLOGY; CORAL; LOPHOPHORE,Article,WOS,Ischia,40.7306,13.95,3,Hydrothermal Vents,Italy,CO2,Neapolitan,biological,,macrobenthos,Bryozoa,Myriapora truncata,growth
Lopez-Rodri<U+00AD>guez C. and De Lange G.J. and Comas M. and Martínez-Ruiz F. and Nieto F. and Sapart C.J. and Mogollón J.M.,"Recent, deep-sourced methane/mud discharge at the most active mud volcano in the western Mediterranean",2019,Marine Geology,10.1016/j.margeo.2018.11.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057838143&doi=10.1016%2fj.margeo.2018.11.013&partnerID=40&md5=ec131c8043321b3fa3e0e6257b90b0c0,"Active mud volcanism in the West Alboran Basin (WAB) is closely associated with tectonically mobilized, overpressurized shales and shale-diapirism. This appears to control mud expulsion at Carmen mud volcano, a cone-shaped structure 65 m high and 1 km in basal diameter. The presence of gas-rich mud breccia, living chemosynthetic fauna, the absence of hemipelagic draping and the abrupt transition that occurs between high dissolved sulfate in the uppermost interval and low sulfate together with high methane concentrations in the lowermost sediment interval all point to a recent expulsion of mud breccia at the summit of Carmen MV. For the lowermost interval, the depletion of major elements (i.e., Ca2+ and Mg2+) and the enrichment of trace species (i.e., Li and B) in the pore water all indicate a deep fluid source. The d18Opw (5.7‰ VSMOW) and dDpw (-10‰ VSMOW) of pore water in the lowermost interval correspond with smectite dehydration as the main pore-water freshening mechanism. Water-formation temperatures calculated with empirical geo-thermometers (K-Na, K-Mg; d18Opw, dDpw, and dissolved B) reveal that fluids were generated at temperatures of ~140 ± 20 °C. Taking a regional geothermal gradient for the WAB of 25–27 °C/km, this points to a fluid source from ~5 ± 1 km sediment depth. This is not only consistent with the depth of overpressurized shales and megabreccia of Lower to Middle Miocene age, but it also fits nicely with the Upper/Middle-Miocene seawater value for the porewater 87Sr/86Sr derived from dissolving carbonates. The stable carbon and hydrogen isotopic composition of methane (d13Cmethane ~ -59.4‰ VPDB and dDmethane -184‰ VSMOW) for the deepest samples of summit-core GP05PC is consistent with the mentioned deep origin. Mud breccia expulsion of overpressurized deep sedimentary units would be accompanied by rigorous degassing, leading to rapid, ‘instantaneous’ replacement of pore fluid by bottom water in the upper sediments. The absence of oxidized sediment draping, the seawater-like pore-water composition in the uppermost part of the mud breccia interval, and the abrupt methane to sulfate transition all provide evidence for a very recent mud expulsion. The distinctively kink-shaped pore-water Cl- profile in core GP05PC has been used in a numerical transport-reaction model to derive the timing for this event. This eruptive event appears to have taken place very recently, namely 12 ± 5 yrs prior to the 2012 coring, thus in the year 2000 CE. © 2018 Elsevier B.V.",Alboran Sea; Clay minerals; Deep fluids; Isotopes; Mud volcanoes; Pore waters,Binary alloys; Clay minerals; Dissolution; Isotopes; Magnesium alloys; Methane; Potassium alloys; Seawater; Sediments; Shale; Sodium alloys; Sulfur compounds; Trace elements; Alboran sea; Deep fluids; Methane concentrations; Mud volcanoes; Pore water freshening; Pore waters; Smectite dehydrations; Western Mediterranean; Volcanoes; bottom water; clay mineral; concentration (composition); geothermal gradient; hydrogen isotope; isotopic composition; megabreccia; methane; Miocene; mud; mud volcano; porewater; replacement; seawater; sediment chemistry; volcanism; volcano; Alboran Sea; Mediterranean Sea; Mediterranean Sea (West),Article,Scopus,Carmen,35.721833,-4.734333,802,Mud Volcano,Morocco,,Alboran Basin,environmental,,,,,
Lopez-Rodri<U+00AD>guez C. and Stadnitskaia A. and De Lange G.J. and Martínez-Ruíz F. and Comas M. and Sinninghe Damsté J.S.,"Origin of lipid biomarkers in mud volcanoes from the Alboran Sea, western Mediterranean",2014,Biogeosciences,10.5194/bg-11-3187-2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913602096&doi=10.5194%2fbg-11-3187-2014&partnerID=40&md5=0598eac13cc35009886603cfc331a5fa,"Mud volcanoes (MVs) are the most prominent indicators of active methane/hydrocarbon venting at the seafloor on both passive and active continental margins. Their occurrence in the western Mediterranean is patent at the West Alboran Basin, where numerous MVs develop overlaying a major sedimentary depocentre containing overpressured shales. Although some of these MVs have been studied, the detailed biogeochemistry of expelled mud so far has not been examined in detail. This work provides the first results on the composition and origin of organic matter, anaerobic oxidation of methane (AOM) processes and general characteristics on MV dynamics using lipid biomarkers as the main tool. Lipid biomarker analysis was performed on MV expelled material (mud breccias) and interbedded hemipelagic sediments from Perejil, Kalinin and Schneider's Heart MVs located in the northwest margin of the Alboran Sea. The n alkane distributions and n alkane-derived indices (CPI and ACL), in combination with the epimerization degree of hopanes (22S/(22S+22R)) indicate that all studied mud breccia have a similar biomarker composition consisting of mainly thermally immature organic matter with an admixture of petroleum-derived compounds. This concordant composition indicates that common source strata must feed all three studied MVs. The past or present AOM activity was established using lipid biomarkers specific for anaerobic methanotrophic archaea (irregular isoprenoids and dialkyl glycerol diethers) and the depleted carbon isotope composition (d13C) of crocetane/phytane. The presence of these lipid biomarkers, together with the low amounts of detected glycerol dialkyl glycerol tetraethers, is consistent with the dominance of anaerobic methanotrophs of the ANME-2 over ANME-1, at least in mud breccia from Perejil MVs. In contrast, the scarce presence or lack of these AOM-related lipid biomarkers in sediments from Kalinin and Schneider's Heart MVs, suggests that no recent active methane seepage has occurred at these sites. Moreover, the observed methane concentrations support the current activity of Perejil MV, and the very low methane seepage activity in Kalinin and Schneider's Heart MVs. © Author(s) 2014.",NA,anoxic conditions; biomarker; chemical composition; lipid; mud volcano; pelagic deposit; seafloor; sediment chemistry; shale; venting; Alboran Sea; Mediterranean Sea,Article,Scopus,Kalinin,36.05,-4.931667,872,Mud Volcano,Spain,,Alboran Basin,environmental,,,,,
Lopez-Rodri<U+00AD>guez C. and Stadnitskaia A. and De Lange G.J. and Martínez-Ruíz F. and Comas M. and Sinninghe Damsté J.S.,"Origin of lipid biomarkers in mud volcanoes from the Alboran Sea, western Mediterranean",2014,Biogeosciences,10.5194/bg-11-3187-2014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913602096&doi=10.5194%2fbg-11-3187-2014&partnerID=40&md5=0598eac13cc35009886603cfc331a5fa,"Mud volcanoes (MVs) are the most prominent indicators of active methane/hydrocarbon venting at the seafloor on both passive and active continental margins. Their occurrence in the western Mediterranean is patent at the West Alboran Basin, where numerous MVs develop overlaying a major sedimentary depocentre containing overpressured shales. Although some of these MVs have been studied, the detailed biogeochemistry of expelled mud so far has not been examined in detail. This work provides the first results on the composition and origin of organic matter, anaerobic oxidation of methane (AOM) processes and general characteristics on MV dynamics using lipid biomarkers as the main tool. Lipid biomarker analysis was performed on MV expelled material (mud breccias) and interbedded hemipelagic sediments from Perejil, Kalinin and Schneider's Heart MVs located in the northwest margin of the Alboran Sea. The n alkane distributions and n alkane-derived indices (CPI and ACL), in combination with the epimerization degree of hopanes (22S/(22S+22R)) indicate that all studied mud breccia have a similar biomarker composition consisting of mainly thermally immature organic matter with an admixture of petroleum-derived compounds. This concordant composition indicates that common source strata must feed all three studied MVs. The past or present AOM activity was established using lipid biomarkers specific for anaerobic methanotrophic archaea (irregular isoprenoids and dialkyl glycerol diethers) and the depleted carbon isotope composition (d13C) of crocetane/phytane. The presence of these lipid biomarkers, together with the low amounts of detected glycerol dialkyl glycerol tetraethers, is consistent with the dominance of anaerobic methanotrophs of the ANME-2 over ANME-1, at least in mud breccia from Perejil MVs. In contrast, the scarce presence or lack of these AOM-related lipid biomarkers in sediments from Kalinin and Schneider's Heart MVs, suggests that no recent active methane seepage has occurred at these sites. Moreover, the observed methane concentrations support the current activity of Perejil MV, and the very low methane seepage activity in Kalinin and Schneider's Heart MVs. © Author(s) 2014.",NA,anoxic conditions; biomarker; chemical composition; lipid; mud volcano; pelagic deposit; seafloor; sediment chemistry; shale; venting; Alboran Sea; Mediterranean Sea,Article,Scopus,Perejil,36.101833,-4.884667,822,Mud Volcano,Spain,,Alboran Basin,environmental,,,,,
